# 1:now_time 2:interval 3:gx 4:gy 5:gz 6:motor_number 7:output
350869929 792 0.670732 0.243902 0.182927 0 1.009215
350870758 829 0.792683 0.243902 -0.060976 0 1.009298
350871589 831 0.853659 0.121951 -0.060976 0 1.009382
350872424 835 0.731707 0.060976 0.000000 0 1.009465
350873252 828 0.548781 0.182927 0.060976 0 1.009548
350874083 831 0.609756 0.304878 0.000000 0 1.009631
350874912 829 0.548781 0.182927 -0.121951 0 1.009714
350875744 832 0.670732 0.182927 -0.304878 0 1.009797
350876573 829 0.670732 0.121951 -0.121951 0 1.009880
350877402 829 0.609756 0.000000 -0.182927 0 1.009963
350878262 860 0.548781 0.000000 -0.243902 0 1.010049
350879061 799 0.609756 0.121951 0.000000 0 1.010129
350879895 834 0.731707 0.304878 0.060976 0 1.010212
350880724 829 0.670732 0.243902 0.121951 0 1.010295
350881549 825 0.792683 0.304878 0.000000 0 1.010378
350882386 837 0.853659 0.243902 0.000000 0 1.010461
350883216 830 0.792683 0.121951 0.000000 0 1.010544
350884045 829 0.609756 0.304878 0.121951 0 1.010627
350884876 831 0.853659 0.304878 0.060976 0 1.010710
350885711 835 0.792683 0.304878 -0.060976 0 1.010794
350886539 828 0.853659 0.243902 0.000000 0 1.010877
350887370 831 0.792683 0.243902 -0.121951 0 1.010960
350888510 1140 0.731707 0.304878 -0.121951 0 1.011074
350889234 724 0.731707 0.487805 -0.121951 0 1.011146
350890057 823 0.853659 0.365854 0.000000 0 1.011228
350890887 830 0.914634 0.121951 0.182927 0 1.011311
350891719 832 0.975610 0.182927 -0.060976 0 1.011395
350892552 833 0.792683 0.243902 -0.243902 0 1.011478
350893381 829 0.609756 0.243902 -0.243902 0 1.011561
350894211 830 0.792683 0.060976 -0.243902 0 1.011644
350895044 833 1.097561 0.060976 -0.060976 0 1.011727
350895872 828 1.036585 0.243902 0.182927 0 1.011810
350896707 835 0.853659 0.243902 0.182927 0 1.011893
350897533 826 0.731707 0.121951 0.121951 0 1.011976
350898371 838 0.792683 0.121951 -0.182927 0 1.012060
350899192 821 0.914634 0.060976 -0.243902 0 1.012142
350900024 832 0.853659 0.121951 -0.121951 0 1.012225
350900855 831 0.853659 0.060976 0.000000 0 1.012308
350901683 828 1.036585 0.121951 -0.121951 0 1.012391
350902514 831 0.792683 0.243902 0.000000 0 1.012474
350903347 833 0.670732 0.304878 0.000000 0 1.012557
350904176 829 0.792683 0.365854 -0.121951 0 1.012640
350905008 832 0.792683 0.182927 -0.060976 0 1.012723
350905838 830 0.670732 0.000000 0.060976 0 1.012806
350906668 830 0.731707 0.121951 0.060976 0 1.012889
350907503 835 0.914634 0.121951 0.000000 0 1.012973
350908470 967 0.853659 0.121951 -0.182927 0 1.013070
350909192 722 0.670732 0.060976 -0.121951 0 1.013142
350910018 826 0.609756 0.060976 -0.243902 0 1.013224
350910849 831 0.731707 0.182927 -0.304878 0 1.013307
350911680 831 0.792683 0.121951 -0.182927 0 1.013391
350912510 830 0.731707 0.243902 0.121951 0 1.013474
350913343 833 0.853659 0.304878 0.121951 0 1.013557
350914171 828 0.914634 0.243902 0.000000 0 1.013640
350915002 831 0.670732 0.182927 -0.060976 0 1.013723
350915834 832 0.670732 0.121951 0.000000 0 1.013806
350916659 825 0.792683 0.060976 0.060976 0 1.013888
350917491 832 0.914634 0.121951 0.060976 0 1.013972
350918304 813 0.670732 0.182927 -0.121951 0 1.014053
350919152 848 0.609756 0.304878 -0.121951 0 1.014138
350919981 829 0.792683 0.182927 -0.060976 0 1.014221
350920813 832 0.792683 0.060976 0.060976 0 1.014304
350921641 828 0.853659 -0.060976 0.182927 0 1.014387
350922473 832 0.914634 -0.182927 0.060976 0 1.014470
350923306 833 1.036585 -0.243902 0.000000 0 1.014553
350924134 828 0.792683 0.000000 0.060976 0 1.014636
350924966 832 0.853659 0.182927 -0.060976 0 1.014719
350925796 830 0.975610 0.365854 -0.121951 0 1.014802
