#time h roll pitch yaw R L F B
2145901259 2000 -0.039094 1.654776 -179.488647 1.000000 1.000000 1.000000 1.000000
2145903259 2000 -0.038297 1.655466 -179.489334 1.000000 1.000000 1.000000 1.000000
2145905259 2000 -0.039546 1.656281 -179.490417 1.000000 1.000000 1.000000 1.000000
2145907259 2000 -0.039307 1.656135 -179.491104 1.000000 1.000000 1.000000 1.000000
2145909259 2000 -0.039821 1.655554 -179.491440 1.000000 1.000000 1.000000 1.000000
2145911259 2000 -0.040483 1.654229 -179.491653 1.000000 1.000000 1.000000 1.000000
2145913259 2000 -0.040724 1.653405 -179.491974 1.000000 1.000000 1.000000 1.000000
2145915259 2000 -0.040856 1.651559 -179.492905 1.000000 1.000000 1.000000 1.000000
2145917259 2000 -0.040376 1.654045 -179.493820 1.000000 1.000000 1.000000 1.000000
2145919259 2000 -0.041383 1.655039 -179.495010 1.000000 1.000000 1.000000 1.000000
2145921259 2000 -0.042378 1.653948 -179.495468 1.000000 1.000000 1.000000 1.000000
2145923259 2000 -0.042698 1.652723 -179.496048 1.000000 1.000000 1.000000 1.000000
2145925259 2000 -0.042556 1.650905 -179.495972 1.000000 1.000000 1.000000 1.000000
2145927259 2000 -0.042132 1.650823 -179.496170 1.000000 1.000000 1.000000 1.000000
2145929259 2000 -0.042469 1.651066 -179.497467 1.000000 1.000000 1.000000 1.000000
2145931259 2000 -0.043101 1.653809 -179.498169 1.000000 1.000000 1.000000 1.000000
2145933259 2000 -0.042495 1.654994 -179.499222 1.000000 1.000000 1.000000 1.000000
2145935259 2000 -0.042807 1.654918 -179.499817 1.000000 1.000000 1.000000 1.000000
2145937259 2000 -0.042380 1.655398 -179.500244 1.000000 1.000000 1.000000 1.000000
2145939259 2000 -0.042165 1.654806 -179.500549 1.000000 1.000000 1.000000 1.000000
2145941259 2000 -0.042335 1.655014 -179.501007 1.000000 1.000000 1.000000 1.000000
2145943259 2000 -0.042885 1.655196 -179.501572 1.000000 1.000000 1.000000 1.000000
2145945259 2000 -0.042559 1.655671 -179.501770 1.000000 1.000000 1.000000 1.000000
2145947259 2000 -0.043465 1.655850 -179.501846 1.000000 1.000000 1.000000 1.000000
2145949259 2000 -0.044533 1.656147 -179.502045 1.000000 1.000000 1.000000 1.000000
2145951259 2000 -0.044588 1.655799 -179.502594 1.000000 1.000000 1.000000 1.000000
2145953259 2000 -0.044626 1.655128 -179.503159 1.000000 1.000000 1.000000 1.000000
2145955259 2000 -0.044041 1.654986 -179.503845 1.000000 1.000000 1.000000 1.000000
2145957259 2000 -0.044118 1.654966 -179.505142 1.000000 1.000000 1.000000 1.000000
2145959259 2000 -0.044394 1.655697 -179.505707 1.000000 1.000000 1.000000 1.000000
2145961259 2000 -0.044711 1.655457 -179.506027 1.000000 1.000000 1.000000 1.000000
2145963259 2000 -0.044535 1.655557 -179.506592 1.000000 1.000000 1.000000 1.000000
2145965259 2000 -0.044881 1.656589 -179.506790 1.000000 1.000000 1.000000 1.000000
2145967259 2000 -0.044582 1.656498 -179.506989 1.000000 1.000000 1.000000 1.000000
2145969259 2000 -0.044236 1.656609 -179.507309 1.000000 1.000000 1.000000 1.000000
2145971259 2000 -0.044744 1.656881 -179.508499 1.000000 1.000000 1.000000 1.000000
2145973259 2000 -0.044567 1.656786 -179.508957 1.000000 1.000000 1.000000 1.000000
2145975259 2000 -0.044788 1.657773 -179.509140 1.000000 1.000000 1.000000 1.000000
2145977259 2000 -0.043832 1.657935 -179.509933 1.000000 1.000000 1.000000 1.000000
2145979259 2000 -0.043939 1.657869 -179.511353 1.000000 1.000000 1.000000 1.000000
2145981259 2000 -0.045027 1.657649 -179.512314 1.000000 1.000000 1.000000 1.000000
2145983259 2000 -0.046488 1.657903 -179.513138 1.000000 1.000000 1.000000 1.000000
2145985259 2000 -0.046346 1.657618 -179.514191 1.000000 1.000000 1.000000 1.000000
2145987259 2000 -0.046692 1.657842 -179.514633 1.000000 1.000000 1.000000 1.000000
2145989259 2000 -0.046663 1.657452 -179.515427 1.000000 1.000000 1.000000 1.000000
2145991259 2000 -0.046370 1.656962 -179.515747 1.000000 1.000000 1.000000 1.000000
2145993259 2000 -0.046099 1.656681 -179.516556 1.000000 1.000000 1.000000 1.000000
2145995259 2000 -0.045680 1.656780 -179.517487 1.000000 1.000000 1.000000 1.000000
2145997259 2000 -0.045599 1.656688 -179.518433 1.000000 1.000000 1.000000 1.000000
2145999259 2000 -0.044067 1.655557 -179.518616 1.000000 1.000000 1.000000 1.000000
2146001259 2000 -0.043662 1.655332 -179.519180 1.000000 1.000000 1.000000 1.000000
2146003259 2000 -0.043452 1.655805 -179.519485 1.000000 1.000000 1.000000 1.000000
2146005259 2000 -0.042280 1.656449 -179.519913 1.000000 1.000000 1.000000 1.000000
2146007259 2000 -0.042316 1.656317 -179.520218 1.000000 1.000000 1.000000 1.000000
2146009259 2000 -0.042391 1.657375 -179.520676 1.000000 1.000000 1.000000 1.000000
2146011259 2000 -0.041839 1.657511 -179.521744 1.000000 1.000000 1.000000 1.000000
2146013259 2000 -0.042111 1.657120 -179.521942 1.000000 1.000000 1.000000 1.000000
2146015259 2000 -0.042052 1.656229 -179.522766 1.000000 1.000000 1.000000 1.000000
